participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo,session.config.name,session.config.participation_fee,session.config.real_world_currency_per_point,mpl_japanese.1.player.id_in_group,mpl_japanese.1.player.role,mpl_japanese.1.player.payoff,mpl_japanese.2.player.id_in_group,mpl_japanese.2.player.role,mpl_japanese.2.player.payoff
1,vcqpxppd,,0,1,4,,,2026-01-06 21:44:47.115596,1,,,0.0,jq6fkk62,,,,,0,mpl_japanese_session,0.0,1.0,1,,0.0,1,,0.0
2,7jcngcre,,0,0,4,,,,0,,,0.0,jq6fkk62,,,,,0,mpl_japanese_session,0.0,1.0,2,,0.0,2,,0.0
1,rclpnpbp,,0,1,4,,,2026-01-06 21:51:52.582978,1,,,0.0,erk8750a,,,,,1,mpl_japanese_session,0.0,1.0,1,,0.0,1,,0.0
1,javz72tq,,0,1,4,,,2026-01-06 21:52:19.036053,1,,,0.0,puaxr9au,,,,,1,mpl_japanese_session,0.0,1.0,1,,0.0,1,,0.0
1,xhq8lk2m,,0,1,4,,,2026-01-06 21:53:53.526674,1,,,0.0,5l4n23ov,,,,,1,mpl_japanese_session,0.0,1.0,1,,0.0,1,,0.0
1,xty4hw4t,,0,1,4,,,2026-01-06 22:00:22.774740,1,,,0.0,hxz3c61y,,,,,1,mpl_japanese_session,0.0,1.0,1,,0.0,1,,0.0
1,pd5iir8n,,0,1,4,,,2026-01-06 22:01:36.323892,1,,,0.0,mzqeqm7f,,,,,0,mpl_japanese_session,0.0,1.0,1,,0.0,1,,0.0
2,0x3bkhs8,,0,0,4,,,,0,,,0.0,mzqeqm7f,,,,,0,mpl_japanese_session,0.0,1.0,2,,0.0,2,,0.0
1,up1jytsk,,0,1,1,,,2026-01-06 22:54:40.744297,1,,,0.0,h81xv6ni,,,,,1,mpl_japanese_session,0.0,1.0,1,,0.0,,,
1,0usvbcj1,,0,1,1,,,2026-01-06 22:57:48.846604,1,,,0.0,762it6fe,,,,,1,mpl_japanese_session,0.0,1.0,1,,0.0,,,
1,zw6x7td9,,0,1,1,,,2026-01-06 22:58:15.582721,1,,,0.0,f0xzz71u,,,,,1,mpl_japanese_session,0.0,1.0,1,,0.0,,,
1,rbly2y8w,,0,1,1,,,2026-01-06 23:29:12.709344,1,,,0.0,vymm4n74,,,,,1,mpl_japanese_session,0.0,1.0,1,,0.0,,,
1,l2aqvblq,,0,1,1,,,2026-01-06 23:30:38.869239,1,,,0.0,4hjukng9,,,,,1,mpl_japanese_session,0.0,1.0,1,,0.0,,,
1,lqwkogcs,,0,1,1,,,2026-01-06 23:33:00.095837,1,,,0.0,roahgcsd,,,,,1,mpl_japanese_session,0.0,1.0,1,,0.0,,,
1,loon7xpa,,0,1,1,,,2026-01-06 23:37:33.167667,1,,,0.0,aiftpft2,,,,,1,mpl_japanese_session,0.0,1.0,1,,0.0,,,
1,y1z32pk9,,0,1,1,mpl_japanese,Intro,2026-01-06 23:40:06.718662,1,,,0.0,3ag2a106,,,,,1,mpl_japanese_session,0.0,1.0,1,,0.0,,,
1,1iwukzln,,0,1,1,mpl_japanese,Intro,2026-01-06 23:43:23.622642,1,,,0.0,w5t1paph,,,,,1,mpl_japanese_session,0.0,1.0,1,,0.0,,,
1,xmcmyine,,0,1,2,,,2026-01-06 23:51:55.896471,1,,,0.0,t3y4a308,,,,,1,mpl_japanese_session,0.0,1.0,1,,0.0,,,
1,ivy7c4h6,,0,1,2,,,2026-01-06 23:53:10.427404,1,,,0.0,4qvzucua,,,,,1,mpl_japanese_session,0.0,1.0,1,,0.0,,,
1,m73ohkau,,0,3,2,mpl_japanese,AmbiguityMPL,2026-01-06 23:55:32.642965,1,,,0.0,78ja0ixx,,,,,1,mpl_japanese_session,0.0,1.0,1,,0.0,,,
