participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo,session.config.name,session.config.participation_fee,session.config.real_world_currency_per_point,mpl_japanese.1.player.id_in_group,mpl_japanese.1.player.role,mpl_japanese.1.player.payoff,mpl_japanese.1.player.selected_amount,mpl_japanese.1.player.lottery_outcome,mpl_japanese.1.player.selected_choice_value,mpl_japanese.1.player.selected_round,mpl_japanese.2.player.id_in_group,mpl_japanese.2.player.role,mpl_japanese.2.player.payoff,mpl_japanese.2.player.selected_amount,mpl_japanese.2.player.lottery_outcome,mpl_japanese.2.player.selected_choice_value,mpl_japanese.2.player.selected_round
1,i5fs6rym,,0,1,4,mpl_japanese,Choice,2026-01-06 21:20:29.215331,1,,,0.0,br9zz509,,,,,1,mpl_japanese_session,0.0,1.0,1,,0.0,,,,,1,,0.0,,,,
1,j39ox64r,,0,1,4,mpl_japanese,Choice,2026-01-06 21:23:14.769146,1,,,0.0,5cx3ynhl,,,,,1,mpl_japanese_session,0.0,1.0,1,,0.0,,,,,1,,0.0,,,,
1,qftl8dn6,,0,3,4,mpl_japanese,Choice,2026-01-06 21:23:44.829535,1,,,0.0,3x6lapzw,,,,,1,mpl_japanese_session,0.0,1.0,1,,0.0,,,,,1,,0.0,,,,
1,gu47cxtr,,0,1,4,mpl_japanese,Choice,2026-01-06 21:25:48.233515,1,,,0.0,ox0enyo9,,,,,1,mpl_japanese_session,0.0,1.0,1,,0.0,,,,,1,,0.0,,,,
1,u42xs8fg,,0,0,4,,,,0,,,0.0,50uz3l8j,,,,,0,mpl_japanese_session,0.0,1.0,1,,0.0,,,,,1,,0.0,,,,
2,sqweds3y,,0,0,4,,,,0,,,0.0,50uz3l8j,,,,,0,mpl_japanese_session,0.0,1.0,2,,0.0,,,,,2,,0.0,,,,
1,cbryyt8p,,0,1,4,mpl_japanese,Choice,2026-01-06 21:26:44.389805,1,,,0.0,ekm7egis,,,,,0,mpl_japanese_session,0.0,1.0,1,,0.0,,,,,1,,0.0,,,,
2,7tepn0xw,,0,0,4,,,,0,,,0.0,ekm7egis,,,,,0,mpl_japanese_session,0.0,1.0,2,,0.0,,,,,2,,0.0,,,,
1,ab4xkdn5,,0,0,4,,,,0,,,0.0,wzufwkep,,,,,0,mpl_japanese_session,0.0,1.0,1,,0.0,,,,,1,,0.0,,,,
2,hnucwblt,,0,0,4,,,,0,,,0.0,wzufwkep,,,,,0,mpl_japanese_session,0.0,1.0,2,,0.0,,,,,2,,0.0,,,,
1,8cdkkfkr,,0,1,4,mpl_japanese,Choice,2026-01-06 21:28:55.766329,1,,,0.0,3dddd41o,,,,,1,mpl_japanese_session,0.0,1.0,1,,0.0,,,,,1,,0.0,,,,
1,7wl1quqw,,0,0,4,,,,0,,,0.0,derdl00x,,,,,0,mpl_japanese_session,0.0,1.0,1,,0.0,,,,,1,,0.0,,,,
2,pfn1o5y2,,0,0,4,,,,0,,,0.0,derdl00x,,,,,0,mpl_japanese_session,0.0,1.0,2,,0.0,,,,,2,,0.0,,,,
